,0 uM,0 uM ,0 uM ,0.1 uM ,0.1 uM ,0.1 uM ,1 uM ,1 uM,1 uM ,10 uM,10 uM,10 uM ,100 uM ,100 uM ,100 uM ,500 uM ,500 uM ,500 uM 
451,927,1071,1004,878,1113.5,863.5,1091.5,1013.5,922.5,952,927,1041,1100.5,1090,1077.5,1265,1589,1019
452,871.5,1019,945,865.5,1101.5,809,1082.5,1015,883.5,967,871.5,1014.5,1114,1127.5,1032.5,1186,1575.5,935
453,869,922,892,879.5,1043,825,1020,979,869.5,937.5,869,986,1073,1062.5,944,1210,1466,907.5
454,896,980,911.5,784.5,937.5,815.5,979,889,828,862.5,896,936.5,1005,1009,927,1111.5,1423,859.5
455,798.5,922,904,758,967.5,686,915.5,899,752,832.5,798.5,841,934,968.5,989.5,1074,1250.5,841.5
456,808.5,981.5,867.5,763,930.5,697.5,888,884.5,708.5,825.5,808.5,897,933.5,852,874,1050.5,1269.5,835.5
457,784,855,766,737,918.5,721,849,851.5,692.5,827,784,798,841,867,798.5,997,1215.5,831
458,764.5,862.5,801,701.5,893.5,617.5,876.5,842,656,726.5,764.5,864,819.5,885.5,803,953,1058.5,738.5
459,632.5,834,738.5,653,849,604,822.5,744.5,694,666,632.5,756.5,828,852,828,926.5,1033,692
460,653,712.5,709,608,801.5,588.5,804,737,623,705,653,743,735,883.5,769,887,970.5,704.5
461,626,805,647.5,610.5,787,595,733,689,567.5,626.5,626,722.5,698,761,673,865,763,678
462,659.5,714.5,669,641,782.5,502,700.5,704.5,586,617,659.5,691,741.5,698,733,852,724.5,655
463,549,717.5,708.5,498.5,684.5,487.5,723.5,653,525,582.5,549,657,690,689,656,811.5,768.5,653.5
464,542,646.5,638.5,542,710.5,519,665,559,561.5,528.5,542,603,704,654,610.5,705,762,623.5
465,593,654,589,510.5,680.5,443,633,553.5,460.5,547,593,562.5,723,562,568.5,754,729.5,565.5
466,550,612.5,630.5,507.5,629,443.5,626.5,585,550.5,503,550,521,671.5,592,630,726.5,769.5,521
467,502,622.5,560,491,616,417,609.5,579.5,462,484.5,502,597,694,612.5,546.5,667.5,638.5,495
468,498.5,624.5,547.5,481.5,576.5,426,576.5,499.5,405.5,470,498.5,505,521.5,580.5,573.5,638.5,689.5,524
469,445.5,574,572,455.5,533,406,589.5,504,414.5,508,445.5,514.5,593.5,521.5,604.5,617.5,595,448.5
470,411,532,542.5,431.5,522.5,328.5,522.5,468,408.5,441,411,516.5,567.5,574,511.5,610.5,644.5,479.5
471,403.5,530.5,492.5,470.5,517.5,390,474.5,497.5,419,387,403.5,437.5,581,570,480.5,523.5,587,512
472,408,499,482,415.5,523.5,302.5,507,447.5,349.5,412,408,485,576,501,411,519.5,573,289.5
473,405.5,447,477,402,499.5,295.5,467.5,534,306.5,408.5,405.5,399,479.5,500,398,529.5,533.5,406
474,386,464.5,476,367.5,473.5,296.5,421.5,394.5,297.5,368.5,386,471.5,458.5,485.5,460.5,510,448.5,326.5
475,327,458.5,412,366.5,461,291,458,416,317.5,291,327,403,449.5,422,392.5,528.5,539.5,387
476,392,486,408.5,304,505.5,310.5,406,422.5,348,359.5,392,429,478,399.5,368,493.5,472.5,312
477,355.5,428,433.5,307.5,387,253,428.5,354,282,298.5,355.5,328,363.5,372.5,386,482,530,325.5
