,0 uM,0 uM ,0 uM,0.1 uM,0.1 uM ,0.1 uM ,1 uM,1 uM ,1 uM ,10 uM,10 uM ,10 uM ,100 uM,100 uM ,100 uM ,500 uM ,500 uM ,500 uM 
478,333,71,333,306.5,443.5,369.5,583,256.5,512.5,274,339.5,372.5,302.5,380.5,279.5,315,604.5,572
479,337,61,337,319.5,404,396.5,619.5,233.5,524,346.5,404,342,320,398,235.5,296.5,627.5,528.5
480,320,75.5,320,281.5,365.5,394,585,237,481.5,333,342,350.5,301.5,380,249,310.5,607,429
481,263.5,117,263.5,284.5,356.5,403.5,503,181.5,506.5,311.5,366.5,319,239,368.5,221,285.5,575.5,475
482,284.5,26.5,284.5,261.5,380.5,359,550,184,462.5,310,352.5,372.5,269,381,225,295.5,553.5,524.5
483,265,27,265,247,353,367,558.5,186.5,464.5,287,354.5,321.5,255,343.5,229,225,549.5,445.5
484,297,49,297,268,323,368.5,510,209.5,421.5,234.5,329.5,314.5,197.5,352.5,264.5,245,517.5,480
485,248.5,45.5,248.5,252,301.5,350.5,512.5,213,442,254,274,306.5,274,315.5,192,161.5,517,432.5
486,223.5,19.5,223.5,270,267,352.5,514,159.5,455.5,263.5,302.5,305,195.5,332.5,169.5,228,479.5,477.5
487,235.5,2,235.5,220,277.5,265.5,491,169,413,251,260.5,339,215,324,142,199.5,533.5,415
488,261,28.5,261,237,329.5,306,439.5,114.5,422.5,267,276.5,315,210.5,323,137.5,171,465,392
489,217,-2,217,209,290,302,460,142,412.5,207,251,260,200.5,349,144.5,157,512.5,381.5
490,188.5,11,188.5,245.5,236,323.5,410,159,397.5,253,250.5,279.5,192.5,265,187,225.5,453.5,369
491,207,-11.5,207,251,268,326,450,144.5,395.5,206,241.5,247.5,196,284,159,207.5,467,397
